GNumber,LNumber,Bridge,BridgeNumber,Age,WChloride,Crack,Elevation,A,B,C,D,E,F,Dkey,Cdepth,G,CalD,CalCs,CalCo
524,3,SSK,150189,11,18504,c,6,,37.24,23.97,12.42,6.47,,1,2.52,2.22,,,
526,4,SSK,150189,11,18504,s,6,,27.43,8.23,0.55,0.08,,1,2.52,0.11,0.0038,39.6,0.01
543,5,SSK,150189,11,18504,c,3,,42.8,35.2,32.76,28.22,,7,,,,,
531,9,SSK,150189,11,18504,c,3,,38,25.98,18.16,13.13,,1,2.52,6.23,,,
534,10,SSK,150189,11,18504,s,3,,32.41,13.61,3.88,0.14,,1,2.52,0.1,0.0064,42.5,0.37
535,11,SSK,150189,11,18504,s,3,,32.14,15.16,4.55,0.14,,1,2.52,0.15,0.008,40.9,0.26
536,14,SSK,150189,11,18504,c,3,,27.27,23.34,15.45,6.36,,1,2.52,5.98,,,
537,15,SSK,150189,11,18504,s,3,,31.14,14.66,7.65,0.29,,1,2.52,0.12,0.01,37.6,0.58
538,16,SSK,150189,11,18504,s,3,,20.98,10.54,5.17,0.57,,1,2.52,0.13,0.011,25.2,0.48
539,17,SSK,150189,11,18504,s,3,,31.85,18.46,11.22,1.24,,1,2.52,0.36,0.019,36.1,0.43
521,1,SSK,150189,11,18504,c,18,,4.82,1.5,0.44,0.15,,1,2.52,0.12,,,
522,2,SSK,150189,11,18504,s,18,,5.37,1.22,0.24,0.06,,1,2.52,0.05,0.0027,8.3,0.09
523,3,SSK,150189,11,18504,c,18,,6.74,2.16,0.33,0.21,,1,2.52,0.23,,,
525,4,SSK,150189,11,18504,c,19,,4.99,3.09,0.32,0.13,,1,2.52,0.16,,,
527,5,SSK,150189,11,18504,s,19,,5.46,1.71,0.36,0.06,,1,2.52,0.07,0.0039,7.8,0.1
528,6,SSK,150189,11,18504,c,19,,6.52,2.41,0.26,0.14,,1,2.52,0.13,,,
529,7,SSK,150189,11,18504,c,60,,5.14,3.3,0.51,0.19,,1,2.52,0.14,,,
530,8,SSK,150189,11,18504,s,60,,3.3,0.72,0.26,0.11,,1,2.52,0.1,0.0024,5.2,0.15
532,9,SSK,150189,11,18504,c,60,,3.6,0.84,0.48,0.28,,1,2.52,0.26,,,
533,10,SSK,150189,11,18504,c,120,,1.54,0.61,0.43,0.21,,1,2.52,0.18,,,
562,13,HFB,150210,8,17143,c,1.67,,38.07,13.56,18.61,7.89,,1,2.52,1.82,,,
563,14,HFB,150210,8,17143,c,1.67,,33.35,20.25,9.1,1.1,,1,2.52,0.24,,,
564,15,HFB,150210,8,17143,c,1.33,,27.75,20.81,9.85,4.16,,1,2.52,2.849,,,
565,16,HFB,150210,8,17143,s,1.33,,33.78,10.57,1.55,0.83,,1,2.52,0.56,0.0053,48.5,0.67
566,17,HFB,150210,8,17143,c,3.5,,7.32,6.64,2.5,1.05,,1,2.52,0.93,,,
567,18,HFB,150210,8,17143,s,3.5,,9.35,7.02,3.42,0.78,,1,2.52,0.14,0.035,10.8,0.11
578,29,HFB,150210,8,17143,c,0.01,,24.72,17.31,10.77,5.61,,1,2.52,3.64,,,
579,30,HFB,150210,8,17143,s,0.01,,41.19,33.57,19.52,3.09,,1,2.52,0.4,0.045,48.2,0
582,33,HFB,150210,8,17143,s,3.5,,11.26,8.17,5.94,0.66,,1,2.52,0.24,0.048,12.7,0
586,37,HFB,150210,8,17143,s,2.17,,12.72,12.36,6.61,1.98,,1,2.52,0.59,0.065,15,0.08
590,41,HFB,150210,8,17143,c,0.01,,41.07,25.48,16.97,11.29,,1,2.52,5.92,,,
591,42,HFB,150210,8,17143,s,0.01,,45.32,33.17,9.93,0.67,,1,2.52,0.28,0.021,56.3,0
597,48,HFB,150210,8,17143,c,3.17,,9.78,8.14,3.58,1.36,,1,2.52,0.83,0.033,11.5,0.74
598,49,HFB,150210,8,17143,s,3.17,,8.84,5.72,1.8,0.24,,1,2.52,0.14,0.019,10.8,0.07
550,1,CCC,150138,6,14181,s,3.25,,8.41,12.98,2.07,0.15,,1,2.52,0.07,0.042,13,0
551,2,CCC,150138,6,14181,c,3.25,,18.68,9.9,2.53,0.44,,1,2.52,0.22,,,
552,3,CCC,150138,6,14181,s,2.17,,16.74,19.6,0.42,0.21,,1,2.52,0.18,0.024,24.5,0
553,4,CCC,150138,6,14181,c,2.17,,26.66,18.8,5.16,0.59,,1,2.52,0.32,,,
555,6,CCC,150138,6,14181,s,0.01,,20.57,9.76,1.66,0.29,,1,2.52,0.22,0.013,26.8,0.11
556,7,CCC,150138,6,14181,s,1,,28.39,14.94,2.34,0.83,,1,2.52,0.29,0.015,36.6,0.2
559,10,CCC,150138,6,14181,s,0.01,,30.68,12.02,2.06,0.28,,1,2.52,0.17,0.01,41.5,0.22
560,11,CCC,150138,6,14181,s,1,,32.29,9.18,1.91,0.27,,1,2.52,0.16,0.006,47.1,0.49
576,27,CCC,150138,6,14181,s,0.01,,18.82,11.1,3.15,0.49,,1,2.52,0.43,0.02,23.3,0.29
577,28,CCC,150138,6,14181,s,0.01,,36.42,16.41,6.8,0.43,,1,2.52,0.35,0.028,31.4,0.12
568,19,BLP,150221,2,19356,s,1,,53.22,32.65,4.96,0.37,,1,2.52,0.29,0.051,69.1,0
570,21,BLP,150221,2,19356,s,1,,34.3,6.37,0.43,0.29,,1,2.52,0.46,0.013,55.3,0.32
572,23,BLP,150221,2,19356,s,0.01,,29.8,33.78,4.68,0.61,,1,2.52,0.3,0.095,41.7,0
574,25,BLP,150221,2,19356,s,0.01,,19.65,7.31,0.91,0.9,,1,2.52,0.36,0.026,27.2,0.48
611,12,MAC,870772,2.5,20306,c,5.73,,3.7,0.67,0.24,0.2,,1,2.52,0.17,,,
612,13,MAC,870772,2.5,20306,c,5.75,,1.37,0.14,0.21,0.19,,1,2.52,0.13,,,
613,16,MAC,870772,2.5,20306,s,2.71,,10.57,5.96,1.37,0.15,,1,2.52,0.11,0.044,13.3,0.03
614,20,MAC,870772,2.5,20306,c,2.63,,11.57,5.56,1.65,0.81,,1,2.52,0.32,,,
615,21,MAC,870772,2.5,20306,s,2.65,,8.56,3.04,0.26,0.1,,1,2.52,0.1,0.02,11.9,0.05
616,31,MAC,870772,2.5,20306,c,2.5,,12.05,7.32,1.14,0.18,,1,2.52,0.14,,,
650,0A,DPE,720518,11,16540,s,0.01,16.18,22.8,18.69,7.12,1.94,0.72,3,6.09,0.16,0.017,33.3,0
652,0C,DPE,720518,11,16540,c,0.01,6.385,14.35,10.68,8.17,8.23,4.68,4,5.7,0.49,,,
653,0D,DPE,720518,11,16540,s,0.01,21.07,15.46,16.75,12.58,7.72,2.44,3,3.61,0.29,0.052,20.8,0
655,1AA,DPE,720518,11,16540,s,1,5.061,2.38,3.52,2.18,1.33,1.08,3,5.46,0.19,0.082,3.4,0.15
658,1C,DPE,720518,11,16540,c,1,5.622,7.72,4.17,3.87,3.58,2.95,4,5.27,1.35,,,
660,1DD,DPE,720518,11,16540,s,1,2.391,3.75,4.07,3.38,2.42,1.91,3,5.31,0.2,0.126,4.5,0.18
661,3A,DPE,720518,11,16540,s,3,8.861,2.35,0.69,0.29,0.17,0.06,3,5.43,0.02,0.0048,3.9,0.09
665,3CCC,DPE,720518,11,16540,c,3,3.871,5.89,1.99,0.68,0.25,0.19,4,2.96,0.15,,,
666,3D,DPE,720518,11,16540,s,3,3.045,2.04,0.67,0.26,0.22,0.18,3,4.91,0.12,0.0045,3.4,0.17
667,5A,DPE,720518,11,16540,s,5,4.354,1.33,0.36,0.26,0.31,0.15,6,6.17,0.16,0.0031,3.5,0.22
669,5C,DPE,720518,11,16540,c,5,2.239,1.98,0.67,0.29,0.1,0.08,4,3.81,0.25,,,
670,5D,DPE,720518,11,16540,s,5,4.222,1.66,0.6,0.23,0.19,0.11,3,5.5,0.13,0.0052,2.6,0.14
701,1,BSB,154259,7,19850,c,1,0.223,16.06,7.42,5.07,4.16,4.08,4,2.71,2.96,,,
702,2,BSB,154259,7,19850,c,0.01,45.17,31.88,18.97,6.42,2.19,1.83,4,2.98,2.17,,,
703,3,BSB,154259,7,19850,s,0.01,51.16,29.78,11.41,1.55,0.81,0.49,3,2.79,0.52,0.01,47.2,0.21
704,4,BSB,154259,7,19850,s,1,18.86,8.47,0.92,0.66,0.41,0.38,3,3.06,0.32,0.0026,22,0.44
707,7,BSB,154259,7,19850,c,1,,5.41,3.63,3.57,4.18,2.15,4,3.04,2.84,,,
708,8,BSB,154259,7,19850,s,1,,6.14,3.62,0.4,0.5,0.47,3,2.79,0.29,0.013,9,0.22
709,9,BSB,154259,7,19850,s,0.01,,13.36,7.67,2.27,0.57,0.33,3,3.02,0.33,0.017,18.9,0.03
710,10,BSB,154259,7,19850,s,0.01,,13.11,7.65,3,0.85,0.45,3,4.83,0.37,0.019,18.2,0.11
718,18,BSB,154259,7,19850,c,0.38,,47.95,40.18,21.18,11.05,2.03,4,5.07,0.29,,,
720,20,BSB,154259,7,19850,s,0.38,,42.92,28.1,31.53,17.14,3.74,3,3.22,0.29,0.063,51.7,0
721,21,BSB,154259,7,19850,s,0.01,,29.93,29.14,25.88,14.62,9.32,3,3.65,0.45,0.112,37.3,0
723,23,BSB,154259,7,19850,s,2.38,22.4,30.4,15.98,11.35,4.44,0.67,6,3.46,0.14,0.026,38.8,0
726,26,BSB,154259,7,19850,c,1.88,6.386,11.45,21.37,9.65,6.18,2.42,4,3.65,0.47,,,
727,27,BSB,154259,7,19850,s,2.38,,10.45,16.44,12.53,6.48,2.53,3,3.73,0.19,0.113,16.8,0
745,5,SHB,150202,10,10990,c,2.33,4.15,17.22,7.22,3.69,0.92,0.21,4,3.53,0.06,,,
746,6,SHB,150202,10,10990,s,2.33,3.39,9.55,7.14,4.48,3.14,0.34,3,3.69,0,0.029,12.2,0
747,7,SHB,150202,10,10990,s,1,6.28,12.94,20.69,14.02,8.39,1.01,3,3.3,0.04,0.057,21.5,0
748,8,SHB,150202,10,10990,s,1,6.25,16.67,19.83,13.16,7.57,1.47,3,2.94,0.04,0.045,24.2,0
749,9,SHB,150202,10,10990,s,0.01,2.94,21.76,11.84,9.42,6.36,1.27,3,2.98,0.04,0.027,25.8,0.01
750,10,SHB,150202,10,10990,s,0.01,4.66,17.7,11.45,8.46,6.74,1.55,3,3.02,0.03,0.035,21,0
751,11,SHB,150202,10,10990,c,2.5,2.25,13.31,5.07,1.38,0.43,0.2,4,2.98,0.04,,,
752,12,SHB,150202,10,10990,s,2.5,2.36,7.44,3.05,0.66,0.27,0.04,3,3.38,0.01,0.0078,11.4,0
753,13,SHB,150202,10,10990,s,1,4.93,15.27,15.14,11.35,7.87,1.86,3,3.46,0.05,0.051,20.2,0
754,14,SHB,150202,10,10990,s,1,4.46,14.13,12.88,10.08,7.71,1.02,3,3.26,0,0.048,18.4,0
755,15,SHB,150202,10,10990,s,0.01,7.28,15.9,12.22,8.15,5.7,1.06,3,3.3,0.05,0.033,20,0
756,16,SHB,150202,10,10990,s,0.01,10.05,16.72,7.65,8.96,5.54,1.6,3,3.38,0.05,0.034,18.6,0.08
757,17,SHB,150202,10,10990,c,2,2.48,9.18,7.7,3.69,1.2,0.3,4,2.96,0.03,,,
758,18,SHB,150202,10,10990,s,2,3.34,7.15,3.95,1.72,0.5,0.05,3,2.9,0,0.013,10,0
781,1,NSB,790152,10,17700,c,0.01,,41.09,32.39,27.35,20.05,23.38,2,3.53,19.76,,,
782,2,NSB,790152,10,17700,c,0.42,,27.09,27.94,23.48,23.95,20.3,2,4.01,14.51,,,
783,3,NSB,790152,10,17700,s,0.33,7.53,11.15,11.52,7.9,6.35,7.18,5,3.97,1.75,0.132,12.7,1.64
784,4,NSB,790152,10,17700,s,0.01,19.88,17.22,14.96,13.41,12.72,8.89,3,3.46,2.61,0.164,18.6,1.57
787,7,NSB,790152,10,17700,c,0.25,,23.46,22.76,23.25,19.32,14.28,2,3.22,12.57,,,
788,8,NSB,790152,10,17700,s,0.29,13.79,11.49,11.3,10.95,10.06,8.84,3,3.89,1.92,0.405,13.1,0
792,12,NSB,790152,10,17700,c,0.29,,25.35,9.81,11.19,9.19,9.46,2,3.14,10.98,,,
793,13,NSB,790152,10,17700,s,0.21,10.94,11.06,9.89,8.74,6.17,6.75,3,3.61,2.55,0.111,11.9,2.43
794,14,NSB,790152,10,17700,c,1.13,,14.01,14.5,9.46,10.43,9.64,2,3.34,8.1,,,
795,15,NSB,790152,10,17700,s,1.13,9.23,9.68,4.73,5.57,5.7,2.9,3,3.65,1,0.064,9.5,1.11
796,16,NSB,790152,10,17700,c,0.08,,26.86,23.23,18.56,13.52,9.58,2,3.38,8.15,,,
797,17,NSB,790152,10,17700,s,0.08,1.53,24.3,22.09,15.85,17.15,10.41,3,3.57,4.5,0.085,27.2,4.24
798,18,NSB,790152,10,17700,c,1.04,,22.25,19.33,13.07,9.7,8.88,2,3.73,6.95,,,
799,19,NSB,790152,10,17700,s,1.04,3.28,6.4,6.5,6.03,4.88,2.23,3,3.46,0.15,0.115,8,0
804,24,NSB,790152,10,17700,c,0.01,,20.7,14.22,12.15,10.45,8.88,2,3.3,6.15,,,
805,25,NSB,790152,10,17700,s,0.01,12.99,12.66,7.72,6.5,4.99,5.27,3,3.61,0.82,0.051,13.1,1.28
806,26,NSB,790152,10,17700,c,0.54,,13.34,11.9,8.65,8.42,6.89,2,3.02,6.52,,,
807,27,NSB,790152,10,17700,s,0.54,7,5.1,3.59,3.57,2.31,1.6,3,2.94,0.26,0.063,5.7,0.21
821,1,MIB,780097,7,18855,s,0.01,25.53,25.35,12.99,5.29,1.39,0.57,3,1.75,0.58,0.016,35.8,0.22
822,2,MIB,780097,7,18855,s,0.01,25.48,24.61,15.1,6.33,1.61,1.06,3,1.93,1.02,0.02,33.9,0.37
823,3,MIB,780097,7,18855,s,0.01,32.94,24.76,14.38,8.78,2.1,0.68,5,1.75,1.2,0.025,34.7,0.25
824,4,MIB,780097,7,18855,s,0.01,31.94,30.8,18.08,7.52,2.56,,5,1.31,0.15,0.02,46.2,0
825,5,MIB,780097,7,18855,s,0.5,17.09,16.72,10.97,6.97,,,3,0.95,3.8,0.037,20.8,0
826,6,MIB,780097,7,18855,s,0.5,42.08,17.32,11.98,5.92,1.96,0.44,3,1.85,0.43,0.026,23.3,0
827,7,MIB,780097,7,18855,s,0.5,22.62,16.37,14.07,7.2,2.58,0.69,5,1.91,0.84,0.036,23.3,0
828,8,MIB,780097,7,18855,s,0.5,30.64,16.86,13,6.17,1.57,0.57,3,1.73,0.5,0.028,24.7,0
841,1,BCB,150200,14,19356,s,0.01,4.432,7.44,7.89,6.21,7.79,5.16,3,5.74,0.52,0.357,8.4,0
844,4,BCB,150200,14,19356,s,1,11.73,15.1,11,11.23,11.26,9.7,5,5.54,0.32,0.238,15.1,0
846,6,BCB,150200,38,19356,s,0.01,12.23,17.1,29.08,19.96,14.86,12.53,3,2.35,8.94,0.077,24.3,0.66
848,8,BCB,150200,38,19356,s,1,13.57,16.39,16.44,18.2,14.5,11.91,3,2.09,6.13,0.074,19.9,0
849,9,BCB,150200,14,19356,c,1,,21.32,15.24,13.88,10.71,8.17,2,5.43,3.12,,,
850,10,BCB,150200,14,19356,s,1,21.79,15.93,11.92,11.07,7.54,3.3,3,5.19,0.29,0.043,18.4,0.08
851,11,BCB,150200,14,19356,s,2,7.093,10.25,11.92,9.6,7.16,4.76,3,5.46,0.38,0.097,12.9,0.28
852,12,BCB,150200,14,19356,c,2,,8.95,12.64,9.29,6.96,4.38,2,3.38,1.46,,,
854,14,BCB,150200,38,19356,s,1,9.991,14.92,15.25,15.28,13.97,13.23,3,5.39,2.2,0.187,17,0
857,17,BCB,150201,38,19356,s,2,16.26,3.97,7.35,9.59,12.6,11.55,3,4.48,2.744,b,b,b
871,1,BPB,150211,9,25902,s,0.01,9.15,14.97,8.93,2.64,0.96,0.22,3,2.98,0.12,0.014,21.4,0
873,3,BPB,150211,9,25902,s,0.83,12.38,22.74,19.48,8.28,3.02,1.03,3,2.43,0.13,0.023,31.8,0
876,6,BPB,150211,9,25902,s,0.01,13.76,21.93,10.9,1.37,5.06,0.21,3,2.59,0.14,0.01,31.9,0.86
878,8,BPB,150211,9,25902,s,0.83,24.08,20.91,13.97,5.42,0.4,0.11,3,1.77,0.19,0.014,30.4,0
880,10,BPB,150211,9,25902,s,0.01,17.64,16.79,12.07,4.77,1.55,0.42,3,3.97,0.44,0.019,23.2,0
881,11,BPB,150211,9,25902,s,0.75,13.26,24.39,20.83,12.82,4.41,0.4,3,2.05,0.22,0.027,33.9,0
891,1,NPB,170158,14,20915,c,0.08,,30.63,32.76,44.08,26.1,12.61,2,2.88,1.9,,,
892,2,NPB,170158,14,20915,s,0.08,43.42,53.89,32.22,27.77,22.95,9.35,3,3.1,1.28,0.03,60,1.38
895,5,NPB,170158,14,20915,s,2.33,23.16,20.1,23.85,21.11,16.57,7.97,3,7.31,0.14,0.103,26.4,0
896,6,NPB,170158,14,20915,c,0.33,,42.58,35.44,28.61,17.5,2.47,2,5.46,0.31,,,
897,7,NPB,170158,14,20915,s,0.33,23.51,27.42,22.89,14.95,10.1,3.81,3,5.11,0.31,0.029,34.1,0
899,9,NPB,170158,14,20915,s,2.33,16.7,17.18,24.19,20.04,10.31,3.19,3,5.15,0.2,0.051,26.4,0
901,11,NPB,170158,14,20915,c,4.5,,8.73,12.89,3.13,0.85,0.54,2,4.2,0.22,,,
902,12,NPB,170158,14,20915,s,4.5,2.84,6.75,10.55,6.81,2.12,0.35,6,4.2,0.24,0.031,11.2,0
904,14,NPB,170158,14,20915,s,0.5,32.95,35.74,32.85,29.64,25.29,17.18,3,4.2,0.34,0.108,40.9,0
905,15,NPB,170158,14,20915,c,0.5,,32.53,31.9,21.25,10.96,3.2,2,4.48,0.15,,,
906,16,NPB,170158,14,20915,s,0.01,28.36,24.41,15.17,10.38,5.9,1.62,3,4.2,0.15,0.018,30,0
907,17,NPB,170158,14,20915,s,0.01,32.39,31.01,21.99,13.64,9.99,2.83,3,4.36,0.15,0.022,38,0
